variant,sample,r,ic1,ic2,ic3
drop_eua,pre_covid,10,-0.005242051194038533,0.10406637948012487,-0.2704116381297563
drop_eua,pre_covid,11,0.018531914307167163,0.13877118804874689,-0.27315463132212237
drop_eua,pre_covid,12,0.04382665355435311,0.17499677036334915,-0.27437685076850815
drop_eua,pre_covid,13,0.0669350809655952,0.20903604084200766,-0.2777853820508379
drop_eua,pre_covid,14,0.09092368964230158,0.24395549258613025,-0.2803137320677034
drop_eua,pre_covid,15,0.11406418337037305,0.27802682938161816,-0.28369019703320353
drop_eua,pre_covid,16,0.13933407180371193,0.31422756088237325,-0.2849372672934366
drop_eua,pre_covid,17,0.16497018880249148,0.3507945209485692,-0.2858181089882288
drop_eua,pre_covid,18,0.1888001650655391,0.38555534027903327,-0.2885050914187528
drop_eua,pre_covid,19,0.21293271920386925,0.4206187374847796,-0.2908894959739947
drop_eua,pre_covid,20,0.2374039185416703,0.4560207798899971,-0.2929352553297653
drop_eua__credito,full,1,-0.09949151403902078,-0.09087170169838402,-0.12214532137671535
drop_eua__credito,full,2,-0.15877946397236423,-0.1415398392910907,-0.20408707864775338
drop_eua__credito,full,3,-0.19209160304047548,-0.16623216601856516,-0.2600530250535592
drop_eua__credito,full,4,-0.20228571931950995,-0.1678064699569629,-0.29290094867028826
drop_eua__credito,full,5,-0.20819273568012453,-0.16509367397694075,-0.3214617723685974
drop_eua__credito,full,6,-0.20424070277971113,-0.15252182873589049,-0.34016354680587857
drop_eua__credito,full,7,-0.19552408229575513,-0.13518539591129775,-0.35410073365961714
drop_eua__credito,full,8,-0.18748077697156262,-0.11852227824646855,-0.3687112356731193
drop_eua__credito,full,9,-0.17706782243126062,-0.09948951136552975,-0.38095208847051193
drop_eua__credito,full,10,-0.15931001158138525,-0.07311188817501768,-0.385848084958331
drop_eua__credito,full,11,-0.14273335427290434,-0.04791541852589987,-0.39192523498754467
drop_eua__credito,full,12,-0.1258878173724841,-0.022450069284842833,-0.39773350542481906
drop_eua__credito,full,13,-0.10846341116324487,0.0035941492650330975,-0.40296290655327427
