sample,r,q,p,status,max_eig,break_date,design,placebo_type,instrument_free,n_C,n_NC,lambda_1,lambda_1_lo,lambda_1_hi,lambda_min,rank1_share,eig_gap,ratio_dir,p_placebo,prop_LR,prop_p_chi2,prop_p_boot,sys_min_rel_gap,p_placebo_holm,prop_p_holm,passes_cell,n_windows,replicates,verdict
full,8,8,7,ok,0.981987036110389,NA,episodio_s2,rotate,TRUE,69,77,2.8893675840123985,1.67811143971998,8.940000337871151,-3.092974878686303,0.29722555580506654,1.8050861649226437,2.5713534652078898,0.3806193806193806,80.54630699867938,1.894689684695493e-5,0.07385229540918163,0.028656426125795602,1,1,FALSE,NA,FALSE,fails
full,8,8,7,ok,0.981987036110389,NA,intensidade_z,permute,FALSE,49,97,4.289549785340741,1.8865584875297947,10.288992550513555,-3.242263221257245,0.35013933208529885,3.222038817444901,2.3723510480250365,0.28471528471528473,70.6128639285462,3.389762373306686e-4,0.10778443113772455,0.021041824157290393,1,1,FALSE,NA,FALSE,fails
full,8,8,7,ok,0.981987036110389,NA,volatilidade_juros,permute,TRUE,37,109,6.71432850788582,2.654218463895752,18.343082281284687,-1.285230244617989,0.4296085340054779,2.2358178404960842,2.7621331057778074,0.08491508491508491,72.5632893410546,1.9643639346205648e-4,0.059880239520958084,0.13374803186433218,1,1,FALSE,NA,FALSE,fails
full,8,8,7,ok,0.981987036110389,2018-05-01,quebra_livre,rotate,TRUE,89,57,3.0684261538917665,1.7889991194901826,8.763410890858534,-1.6941773170138485,0.3380548498574228,1.6711550794799868,1.8549969557183799,0.3116883116883117,67.87863088067367,7.147057991201018e-4,0.07784431137724551,0.06531968112174365,1,1,FALSE,NA,FALSE,fails
full,8,8,8,ok,0.9916477473007124,NA,calendario,permute,TRUE,96,49,3.659738690817588,1.7584375158481083,7.8544057403658805,-1.3396842705576928,0.48118710000697523,3.5390494356468674,2.064659366800792,0.12787212787212787,36.56951938163366,0.3957523567449679,0.8083832335329342,0.06541805794307025,1,1,FALSE,NA,FALSE,fails
full,8,8,8,ok,0.9916477473007124,NA,episodio_s2,rotate,TRUE,69,76,2.8912960681935975,1.398431759526535,8.24723392263812,-2.822914669803384,0.32874305096981715,2.4329301602501148,2.7150522045430328,0.3596403596403596,83.16341058207276,8.511910202568429e-6,0.05788423153692615,0.08353711297847166,1,1,FALSE,NA,FALSE,fails
full,8,8,8,ok,0.9916477473007124,NA,intensidade_z,permute,FALSE,48,97,3.472000925126004,1.5480363207471242,9.566808078429224,-2.9227845060035236,0.3380611489215433,3.0834310969573298,2.137437916655347,0.35564435564435565,72.1716102267646,2.1937266404367878e-4,0.11177644710578842,0.16521793517944205,1,1,FALSE,NA,FALSE,fails
full,8,8,8,ok,0.9916477473007124,NA,volatilidade_juros,permute,TRUE,36,109,6.914090971252577,2.5086188511062564,18.075378160162927,-1.116378872213281,0.48481411476024705,2.5164394353262707,3.0867612269146445,0.053946053946053944,73.78357399319087,1.3887212828082046e-4,0.03792415169660679,0.157224302913002,1,1,FALSE,NA,FALSE,fails
full,8,8,8,ok,0.9916477473007124,2020-03-01,quebra_livre,rotate,TRUE,67,78,2.9793486993272102,1.3543529830431653,8.762621526766726,-2.9478746517635357,0.3248868444421746,2.447638653858102,2.8056145799354355,0.3356643356643357,87.13494802902835,2.4569741963942417e-6,0.013972055888223553,0.10079982414815065,1,1,FALSE,NA,FALSE,fails
pre_covid,5,5,5,ok,0.9975317085488166,NA,calendario,permute,TRUE,52,27,6.868626333259801,3.045171063448083,15.391267479143448,-0.6314419703691662,0.6603654573801615,4.17549068121516,2.9074404286561135,0.07492507492507493,14.530576057565073,0.41097615889496353,0.5189620758483033,0.13070928167338974,1,1,FALSE,NA,FALSE,fails
