tag,r,q,sample,mp_var,var,h,point,lo68,hi68,lo90,hi90,sign,sig68,sig90
r6q5_full_yield_6m,6,5,full,yield_6m,yield_1y,13,2.7746231789380706e-4,-0.0038351573204201284,0.004584511182372889,-0.00865788384954592,0.007780457075829172,1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_1y,14,-5.752354617672465e-4,-0.004669289347374941,0.004257137840071328,-0.009771708213257022,0.007265437081165869,-1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_1y,15,-0.001249430844288665,-0.005329148656480767,0.004159744823251248,-0.010299162109030055,0.007290751492722358,-1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_1y,16,-0.001721911831239626,-0.0058423269922965705,0.004225944976738624,-0.010593489139273694,0.007489723358748387,-1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_1y,17,-0.0022360193901060626,-0.006435353374194493,0.004191875016484432,-0.011150328988400274,0.007631763975500774,-1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_1y,18,-0.0026742596862674205,-0.007055711667699437,0.003933997881651032,-0.011594002575058668,0.00794389178905711,-1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_1y,19,-0.0029993041587165776,-0.007465766039426794,0.003893320574935119,-0.011914564013611139,0.008172732772249607,-1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_1y,20,-0.0033294351284935274,-0.007927788738401885,0.003632472281711022,-0.012427670934522394,0.00775750721383423,-1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_1y,21,-0.0036291600832444753,-0.00841584162328177,0.0033108364628313346,-0.013542679000440323,0.00762009276360584,-1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_1y,22,-0.003869677166776064,-0.008741138749289484,0.0031475561136969934,-0.014503176910469432,0.007912615992714329,-1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_1y,23,-0.004117366414212672,-0.009074574453060303,0.002914751702555791,-0.015921593162276624,0.007635759592070496,-1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_1y,24,-0.0043718624203620314,-0.009417002722110632,0.0026110130754260215,-0.01639195147295384,0.007360309714326198,-1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_1y,25,-0.0046131476669897965,-0.009857647790589286,0.0022636701367510187,-0.01698007398092135,0.007079830494718548,-1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_1y,26,-0.004854930302634082,-0.010136766956245434,0.0019292353548297314,-0.017279722793772514,0.006805035754429184,-1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_1y,27,-0.0051005089695999265,-0.010597877477513876,0.0016136956762807264,-0.0179690518002019,0.006269984550527828,-1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_1y,28,-0.005347394377607122,-0.010940306375073655,0.0013248889586808161,-0.018281404039610698,0.006101363092120302,-1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_1y,29,-0.00559022629511119,-0.01127733934765532,0.0010708332472285807,-0.018670405693439564,0.005548417863754374,-1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_1y,30,-0.005827678645265728,-0.011519600304458434,8.614756878407734e-4,-0.018723780598966715,0.005295168087586723,-1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_1y,31,-0.00605766169684867,-0.011784561863335754,7.180449010004468e-4,-0.019605619055543543,0.004696957631399098,-1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_1y,32,-0.006269780252523349,-0.012070946304257063,5.251267739610392e-4,-0.020162802450502428,0.004003065648787358,-1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_1y,33,-0.006463003167368925,-0.012384495040108844,4.5702377128304175e-4,-0.020581979687038305,0.0035571259909225436,-1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_1y,34,-0.006634594959493035,-0.012548746428161197,3.0624205080419015e-4,-0.021113518424932348,0.003427312897103774,-1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_1y,35,-0.0067767265382600115,-0.012680440022784057,1.084675570874031e-4,-0.02087359698240889,0.003170113204539635,-1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_1y,36,-0.0068887240273160675,-0.012752255385073756,2.3990560519402705e-5,-0.020682133767980247,0.0028825942666047158,-1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_1y,37,-0.0069681949638445515,-0.012605342018601792,-1.645148597972099e-5,-0.02014595718650478,0.0029647255318921402,-1,TRUE,FALSE
