r,q,var,h,point,lo68,hi68,lo90,hi90,sign,sig68,sig90
8,4,credit_outstanding,12,-0.4395929077192551,-0.8280265624038902,0.20927621045362815,-1.3555493813018855,0.5254004400493446,-1,FALSE,FALSE
8,4,credit_outstanding,13,-0.5321004733254031,-0.9148873435414706,0.18669967178111344,-1.464675836272125,0.5139979124571078,-1,FALSE,FALSE
8,4,credit_outstanding,14,-0.6290023490119867,-1.0187650187461967,0.13541488403515792,-1.5875880083360419,0.48682731207160046,-1,FALSE,FALSE
8,4,credit_outstanding,15,-0.7312413137349205,-1.1298468679255682,0.09728218620290043,-1.7146199173011396,0.4387817336963372,-1,FALSE,FALSE
8,4,credit_outstanding,16,-0.8089971117003047,-1.1877882364934986,0.08643300694402992,-1.7864445230036887,0.4179780608852375,-1,FALSE,FALSE
8,4,credit_outstanding,17,-0.8870511943106396,-1.2750796517772613,0.05347425425702053,-1.8689582641183664,0.42420707207463704,-1,FALSE,FALSE
8,4,credit_outstanding,18,-0.9634285308754986,-1.360097915852214,0.018866259758620968,-2.008922055390492,0.38918233329358265,-1,FALSE,FALSE
8,4,credit_outstanding,19,-1.0243951551419217,-1.398094588305681,0.019017532615818195,-2.11089834447467,0.3814803925883161,-1,FALSE,FALSE
8,4,credit_outstanding,20,-1.084856736187667,-1.4545218998319474,-0.005716898257344015,-2.238053037365468,0.35447295837602105,-1,TRUE,FALSE
8,4,credit_outstanding,21,-1.1341517419353964,-1.5146119327741272,-0.020681666993972447,-2.330048429465643,0.3333270039760337,-1,TRUE,FALSE
8,4,credit_outstanding,22,-1.1721657038184286,-1.573605624292816,-0.03999886876354485,-2.380949781043604,0.3214478135609521,-1,TRUE,FALSE
8,4,credit_outstanding,23,-1.2049999479085693,-1.6023274192170895,-0.05313226069367013,-2.4704973658604934,0.32341267171121957,-1,TRUE,FALSE
8,4,credit_outstanding,24,-1.2270516352709038,-1.6528344256224243,-0.06258878208245387,-2.5623944787536646,0.31383558761316466,-1,TRUE,FALSE
8,4,credit_outstanding,25,-1.2401091771225947,-1.6769724948739353,-0.06701530062696368,-2.6123989732887005,0.32633513508842005,-1,TRUE,FALSE
8,4,credit_outstanding,26,-1.2458684141343546,-1.6898347415865806,-0.08121047467626674,-2.628354815103302,0.3333402287408824,-1,TRUE,FALSE
8,4,credit_outstanding,27,-1.244514355901838,-1.707747557200037,-0.06898325412635839,-2.6154255639191444,0.34406040828524664,-1,TRUE,FALSE
8,4,credit_outstanding,28,-1.2376143202832868,-1.7082654141019198,-0.0702060431926219,-2.6662752259895792,0.3427888148825719,-1,TRUE,FALSE
8,4,credit_outstanding,29,-1.225340131948438,-1.684987523938701,-0.06812306641948711,-2.657866523516829,0.34138577048388286,-1,TRUE,FALSE
8,4,credit_outstanding,30,-1.2073900783779457,-1.6923091848028227,-0.06032877936049416,-2.661026208828151,0.3638203680866968,-1,TRUE,FALSE
8,4,credit_outstanding,31,-1.1855606936112872,-1.6938488521898425,-0.04713859768488139,-2.624623437584724,0.37618685545190755,-1,TRUE,FALSE
8,4,credit_outstanding,32,-1.1606416070196413,-1.6910632677828998,-0.04094993834361109,-2.6166135857701143,0.34979265783663915,-1,TRUE,FALSE
8,4,credit_outstanding,33,-1.131344274199586,-1.6228353315982926,-0.031521419374347735,-2.6358601668512556,0.3409689336543253,-1,TRUE,FALSE
8,4,credit_outstanding,34,-1.100122295969097,-1.605765999217935,-0.023107660329825017,-2.6055293434021483,0.34549199681143017,-1,TRUE,FALSE
8,4,credit_outstanding,35,-1.0678392580779628,-1.585157018103677,-0.015562074586570253,-2.5316320523068545,0.3682183035094007,-1,TRUE,FALSE
8,4,credit_outstanding,36,-1.03274142773504,-1.569483972596729,-0.008482414786569904,-2.5169640503236166,0.3708286254459979,-1,TRUE,FALSE
8,4,credit_outstanding,37,-0.9965831285723481,-1.4976564941021389,0.01379735104834725,-2.4939357861029157,0.3778343936946807,-1,FALSE,FALSE
8,4,credit_outstanding,38,-0.9601299559997556,-1.4341344778913596,0.028292543998033912,-2.460083566218971,0.3999632593188427,-1,FALSE,FALSE
8,4,credit_outstanding,39,-0.9223633947486265,-1.3906363028774305,0.04028223802708595,-2.388971623617438,0.43007599935344965,-1,FALSE,FALSE
8,4,credit_outstanding,40,-0.8841376937662404,-1.3474502739840712,0.04777849722757318,-2.360937730350029,0.43882960022904577,-1,FALSE,FALSE
8,4,credito_pessoa_fisica,0,-0.020196521913995458,-0.11165345389323279,0.07966748181106631,-0.2221333940186826,0.13033623646078074,-1,FALSE,FALSE
