sample,r,q,p,variable,h,point,lo68,hi68,lo90,hi90,sig68,sig90
pre_covid,5,4,6,yield_6m,32,-0.004349875834479014,-0.008005717465543126,2.522076562831695e-4,-0.012692445952735896,0.007070871252195152,FALSE,FALSE
pre_covid,5,4,6,yield_6m,33,-0.00421071804129503,-0.008108047393159125,2.625554994483681e-4,-0.013202949220525399,0.0070738113982055555,FALSE,FALSE
pre_covid,5,4,6,yield_6m,34,-0.004034281252565087,-0.008181265272911607,4.585639485067029e-4,-0.013063996559892528,0.007101315774681883,FALSE,FALSE
pre_covid,5,4,6,yield_6m,35,-0.003822487314680624,-0.008269091522594344,6.860342161675568e-4,-0.013453145144129182,0.007598918471643313,FALSE,FALSE
pre_covid,5,4,6,yield_6m,36,-0.0035766096057984875,-0.008368421672595446,0.0011870555849150745,-0.013268046906873271,0.008437626737042899,FALSE,FALSE
pre_covid,5,4,6,yield_6m,37,-0.003300384451259309,-0.008313338485901446,0.0013840238791955413,-0.013316306841768889,0.009136494362505366,FALSE,FALSE
pre_covid,5,4,6,yield_6m,38,-0.0029998779827246956,-0.00831713170046814,0.0018326018124961963,-0.013216078533294364,0.009710565590385127,FALSE,FALSE
pre_covid,5,4,6,yield_6m,39,-0.0026778709914899806,-0.0080615756305837,0.0020444044778496016,-0.013538682462102465,0.009882279954175902,FALSE,FALSE
pre_covid,5,4,6,yield_6m,40,-0.002339361862173241,-0.007637364846989499,0.002379789458252796,-0.014211379554831677,0.011005247763983537,FALSE,FALSE
pre_covid,5,4,6,yield_6m,41,-0.001987575337010272,-0.007334068715707757,0.0026729817083591986,-0.014836070357805676,0.011098709018094136,FALSE,FALSE
pre_covid,5,4,6,yield_6m,42,-0.001623749662020165,-0.00712213505534454,0.0030295261846685754,-0.014925650395663372,0.011562906168457584,FALSE,FALSE
pre_covid,5,4,6,yield_6m,43,-0.0012506187035671284,-0.007006085228540106,0.003607158751221983,-0.014517876382482125,0.012157784400933867,FALSE,FALSE
pre_covid,5,4,6,yield_6m,44,-8.696436344315185e-4,-0.006508152033284996,0.004066963949205557,-0.014347849836083995,0.01208332700686124,FALSE,FALSE
pre_covid,5,4,6,yield_6m,45,-4.8282671505454124e-4,-0.006339454522028371,0.004740884220093861,-0.013825052250199437,0.013334822760556534,FALSE,FALSE
pre_covid,5,4,6,yield_6m,46,-9.300473476134108e-5,-0.006222858637902841,0.0050001302865721586,-0.013960110563256734,0.014196752815363041,FALSE,FALSE
pre_covid,5,4,6,yield_6m,47,2.9709083674874756e-4,-0.005827053468073969,0.005662893360526996,-0.013942599599453613,0.015048309963954466,FALSE,FALSE
pre_covid,5,4,6,yield_6m,48,6.839305563605126e-4,-0.005261439386609431,0.005854826926547613,-0.013319740269060014,0.015319051487811326,FALSE,FALSE
pre_covid,5,4,6,yield_2y,0,0.008261691944571261,0.00576070801907877,0.010691509078719347,0.0042036927251336755,0.014039546102703533,TRUE,TRUE
pre_covid,5,4,6,yield_2y,1,0.0086786536496502,0.005019344414348681,0.011407575896994582,0.0026751916756760025,0.015006536623953468,TRUE,TRUE
pre_covid,5,4,6,yield_2y,2,0.0060252192220876365,0.0026685923619910947,0.008153471998556464,4.992605862949408e-4,0.010590707218498795,TRUE,TRUE
pre_covid,5,4,6,yield_2y,3,0.006640771719926798,0.0033574622152231573,0.009610209695968019,8.386406139774253e-4,0.012948037268371584,TRUE,TRUE
pre_covid,5,4,6,yield_2y,4,0.0038019771879186986,9.829193196810406e-4,0.00799328751015302,-0.0021178315457589404,0.011882325787538856,TRUE,FALSE
pre_covid,5,4,6,yield_2y,5,-3.783370006084396e-4,-0.0023893931969403144,0.005453102256766038,-0.006395825836411441,0.00861959070763935,FALSE,FALSE
pre_covid,5,4,6,yield_2y,6,-6.143977052793285e-4,-0.0024514165696716324,0.005885141135764769,-0.0069996339904430235,0.009249518207353882,FALSE,FALSE
pre_covid,5,4,6,yield_2y,7,-0.0011736516228542453,-0.0027981477583912773,0.0053396686848012735,-0.008090066517035631,0.00837135613440119,FALSE,FALSE
pre_covid,5,4,6,yield_2y,8,-0.0021818660899210036,-0.004365693222585539,0.004764598348729054,-0.009520943117847465,0.007887577653873833,FALSE,FALSE
