var,h,winner,runnerup
asset_smll,22,-6.066528360126751,5.242961487431329
asset_smll,23,-5.692044238461433,4.341938058141437
asset_smll,24,-5.324450327497776,3.3120750091332742
asset_smll,25,-4.936096970526882,2.190708287082229
asset_smll,26,-4.512476312805087,0.9938141739018765
asset_smll,27,-4.101004113091623,-0.31602853127981106
asset_smll,28,-3.6520952298009344,-1.7048873429043951
asset_smll,29,-3.1588668057894926,-3.1332005404861953
asset_smll,30,-2.655307019710065,-4.648175314827218
asset_smll,31,-2.131786784295786,-6.218401508552558
asset_smll,32,-1.5932919738894669,-7.833701418916847
asset_smll,33,-1.0545733668845712,-9.52308263559914
asset_smll,34,-0.5074265243151355,-11.266008898899718
asset_smll,35,0.04063983196263042,-13.063619746493954
asset_smll,36,0.571815149018623,-14.934074781074758
