ident,var,h,point,lo68,hi68,lo90,hi90
GMR nao-gaussiano,yield_5y,41,-0.0012576529972280076,-0.007075859723837128,0.007152959405124186,-0.029627652266107505,0.032850320809016426
GMR nao-gaussiano,yield_5y,42,-0.001321425971135043,-0.006829589374435604,0.007034009253366678,-0.028820765598970406,0.034264038125840564
GMR nao-gaussiano,yield_5y,43,-0.0013692446566812859,-0.00628696268210118,0.00719866414543963,-0.027747496341010886,0.035593379964767295
GMR nao-gaussiano,yield_5y,44,-0.0013993437551228574,-0.0056386588707543666,0.006757888240795306,-0.026533226521829895,0.032902927707467396
GMR nao-gaussiano,yield_5y,45,-0.001414930698517275,-0.0053906283755480126,0.006773144549562652,-0.016724242549798277,0.03322907227036859
GMR nao-gaussiano,yield_5y,46,-0.0014168665289160673,-0.005279313350711182,0.00697122596171478,-0.01641459643116014,0.03512343769401713
GMR nao-gaussiano,yield_5y,47,-0.0014041480119265492,-0.005340304421100685,0.007128811124231761,-0.016059892557413774,0.033134666584295765
GMR nao-gaussiano,yield_5y,48,-0.0013786249665170382,-0.005350002438356125,0.007224788579762134,-0.015591890405812782,0.032625785429191846
GMR nao-gaussiano,asset_ibov,0,-10.718196327613962,-19.915108120907057,6.280914576033819,-49.4590244047798,80.78394990796143
GMR nao-gaussiano,asset_ibov,1,-12.40790578951908,-24.318520081337937,7.290612810720164,-61.056194649264576,80.03935912078006
GMR nao-gaussiano,asset_ibov,2,-10.492472470362554,-27.79611365921444,8.512255514682018,-94.8424302838235,58.58281289616107
GMR nao-gaussiano,asset_ibov,3,-9.797392050395302,-30.28632990446505,12.448804519405549,-86.06653900955767,84.22300270882187
GMR nao-gaussiano,asset_ibov,4,-8.752736480403374,-33.953145349557396,15.131200476435291,-89.65853065294237,81.8693221881028
GMR nao-gaussiano,asset_ibov,5,-9.047946823637622,-36.637044431297134,18.562770786855257,-106.8731839619135,82.17912715013583
GMR nao-gaussiano,asset_ibov,6,-9.22075342810993,-38.84060911549888,19.12612045369042,-138.71123893536088,100.15635703123966
GMR nao-gaussiano,asset_ibov,7,-8.95486653047962,-39.446322708619675,23.990756581914166,-127.14241643263847,167.78489822540297
GMR nao-gaussiano,asset_ibov,8,-7.017740571679784,-40.54125736516524,24.827570440915224,-111.16547258534986,167.45407172934327
GMR nao-gaussiano,asset_ibov,9,-6.068137712731552,-42.57685265104673,26.635967990810617,-101.45157367597561,176.30913023899691
GMR nao-gaussiano,asset_ibov,10,-5.91464990987064,-44.270526106797476,26.197677476492892,-102.77594620314171,203.76801625388933
GMR nao-gaussiano,asset_ibov,11,-5.132901354222148,-45.08352729046351,31.08315929876497,-110.27519905653863,157.29123432173884
GMR nao-gaussiano,asset_ibov,12,-4.586453006635291,-47.9948005671334,34.39454761144716,-112.85096515927175,157.54453295971666
GMR nao-gaussiano,asset_ibov,13,-3.8859150880623154,-49.052879855251874,38.97263282002252,-128.55543762707924,141.14716763973829
GMR nao-gaussiano,asset_ibov,14,-3.1049351549700193,-49.8403806323341,40.86979037226172,-122.65050420608875,151.30612601680406
GMR nao-gaussiano,asset_ibov,15,-2.7273285782640064,-47.38194121342465,42.72497740789579,-125.44739386150792,160.6326437156562
GMR nao-gaussiano,asset_ibov,16,-2.5629196330195483,-46.82727064905234,43.838376784504774,-130.8849574864387,169.18678983577078
GMR nao-gaussiano,asset_ibov,17,-2.356222354382532,-47.28567923196668,45.19042544439911,-150.7410867070082,176.9467178116518
GMR nao-gaussiano,asset_ibov,18,-2.087563719754461,-48.222028696943426,42.7750340346132,-158.33539338653986,183.57900426151556
GMR nao-gaussiano,asset_ibov,19,-1.8269518509744458,-48.875279668645696,43.41316489914354,-156.96918954837102,189.2082922163104
GMR nao-gaussiano,asset_ibov,20,-1.544391222589133,-49.00799518761874,44.8980189639274,-150.59019816728917,193.77672065656984
GMR nao-gaussiano,asset_ibov,21,-1.331939784689361,-48.958066807489615,46.79552588310361,-148.05415550762405,196.80253706138558
GMR nao-gaussiano,asset_ibov,22,-1.135665749038774,-48.975531083333884,47.62410706032155,-152.34509830567498,204.98630051656903
